企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.929148,"	2021-08-31 01:32:41.0",22.510102,9a6ceda0b052d2ada8a0f1**********,113.92915,22.50745,"	2021-08-31 01:35:28.0"
-,113.965559,"	2021-08-31 01:31:06.0",22.583707,7f16a436a893577ed1030a**********,113.96514,22.58352,"	2021-08-31 01:31:31.0"
-,113.923241,"	2021-08-31 01:30:44.0",22.521467,a8b52c6e003fc2e22054bc**********,113.921211,22.517523,"	2021-08-31 01:34:58.0"
-,113.948862,"	2021-08-31 01:28:00.0",22.559074,27ccd73176457c9f9b8f96**********,113.955893,22.558574,"	2021-08-31 01:35:15.0"
-,113.8328149,"	2021-08-31 01:22:21.0",22.7242204,0ad7d5c031f0cacad1665d**********,113.8328149,22.7242204,"	2021-08-31 01:22:32.0"
-,113.8610091,"	2021-08-31 01:21:52.0",22.7197106,d3e4fb4b65aaf89616aa01**********,113.8616094,22.71964023,"	2021-08-31 01:22:58.0"
-,113.8488919,"	2021-08-31 01:21:50.0",22.596971,a46f179c32eb8f186c11f1**********,113.8485118,22.59698424,"	2021-08-31 01:22:58.0"
-,113.8559608,"	2021-08-31 01:20:42.0",22.5831459,38366cd72229d33a40d2e0**********,113.8561739,22.57927595,"	2021-08-31 01:23:06.0"
-,113.938774,"	2021-08-31 01:19:57.0",22.5236,e7f26609c7dd09dfd0c541**********,113.943309,22.526159,"	2021-08-31 01:27:12.0"
-,114.0964133,"	2021-08-31 01:19:07.0",22.5399086,6172d9a28aab423f07f302**********,113.925977,22.582112,"	2021-08-31 01:21:39.0"
-,113.9062603,"	2021-08-31 01:19:01.0",22.5507487,6153aef4b55a31bc58b5b2**********,113.9072703,22.55099031,"	2021-08-31 01:19:56.0"
-,113.819279,"	2021-08-31 01:18:39.0",22.6928212,ca3d783b1dba3f28ed4061**********,113.8257217,22.69592953,"	2021-08-31 01:22:51.0"
-,114.1118698,"	2021-08-31 01:18:21.0",22.5439092,d1ff4b2b839538c7ef44d7**********,113.920651,22.584787,"	2021-08-31 01:22:35.0"
-,114.1373646,"	2021-08-31 01:18:15.0",22.5816262,a993e604b0c10cb5f4651b**********,114.137675,22.58167229,"	2021-08-31 01:18:27.0"
-,113.955803,"	2021-08-31 01:18:14.0",22.558559,aecc3819ea4226008d28bd**********,113.952431,22.556044,"	2021-08-31 01:22:02.0"
-,113.8062067,"	2021-08-31 01:18:13.0",22.76368898,bcc283fa55e26cb014055c**********,113.8062067,22.76369089,"	2021-08-31 01:18:29.0"
